vessel,site,type,geo,time,comb
29,Pohler Coll,UID,north,Late-Historic,"north, late historic"
31,Pohler Coll,UID,north,Late-Historic,"north, late historic"
42,Pohler Coll,UID,north,Late-Historic,"north, late historic"
46,Pohler Coll,UID,north,Late-Historic,"north, late historic"
31-1-79,Poole,Maxey Noded Redware,north,Formative-Early,"north, formative early"
41sy25-3,S. H. Latham,UID,south,Late-Historic,"south, late historic"
41sy25-2,S. H. Latham,Wilder Engraved,south,Late-Historic,"south, late historic"
121,Salt Lick,Wilder Engraved,south,Late-Historic,"south, late historic"
96,Smithport Landing,Hickory Fine Engraved,south,Formative-Early,"south, formative early"
157,Smithport Landing,Hickory Fine Engraved,south,Formative-Early,"south, formative early"
95,Smithport Landing,Smithport Plain,south,Formative-Early,"south, formative early"
152,Smithport Landing,Smithport Plain,south,Formative-Early,"south, formative early"
FIN-S3,Vanderpool,Hume Engraved,north,Late-Historic,"north, late historic"
FIN-S4,Vanderpool,Poynor Engraved,north,Late-Historic,"north, late historic"
FIN-S18,Vanderpool,UID,north,Late-Historic,"north, late historic"
